тема;текст;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Добрый день! Подскажите можно взять в аренду перфоратор на сегодня? Сколько будет стоить?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
дрель-шуруповерт;Здравствуйте! Сколько у вас стоит аренда дрели по часам?;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Добрый день. Интересует строительный пылесос. На сутки;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;Добрый день!  Подскажите, пожалуйста, можно ли арендовать торцовочную пилу? Необходима на один день, субботу.  Адрес: проспект Энгельса дом 29 корпус 1   Необходимо с доставкой;;;;;;;;;;;;;;;;;;;;;;;
шуруповерт;здравствуйте! почем аренда шуроповерта ?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
лестница;Какая стоимость завтра в 7 утра арендовать  лестницу?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Добрый день, уточните, пожалуйста, стоимость аренды дрели или перфоратора на пару часов, необходимо повесить зеркало, для этого нужно просверлить отверстие в стене;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Добрый день.;;;;;;;;;;;;;;;;;;;;;;;
шуруповерт;Здравствуйте, нужен шуруповерт и молоток;;;;;;;;;;;;;;;;;;;;;;;
паркетно-шлифовальная машина;Здравствуйте, а есть машинка для циклевки паркета ?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Добрый день, хотим арендовать у вас инструмент нужно повесить штангу для одежды в шкаф из ЛДСП;;;;;;;;;;;;;;;;;;;;;;;
вопрос по режиму работы;Здравствуйте, вы завтра работаете?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здравствуйте, подскажите пожалуйста, можно ли у вас взять в прокат перфоратор на сутки?;;;;;;;;;;;;;;;;;;;;;;;
лампа Лосева;Здравствуйте , лампа Лосева имеется ?;;;;;;;;;;;;;;;;;;;;;;;
шуруповерт;Здравствуйте, сколько будет стоить аренда шуруповерта? И есть ли у вас возможность давать сверло?;;;;;;;;;;;;;;;;;;;;;;;
нивелир оптический;Добрый вечер , подскажите есть невелиры ?;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;Здравствуйте интересует аренда торцевой  пилы;;;;;;;;;;;;;;;;;;;;;;;
шуруповерт;Здравствуйте а у вас нету шуруповерта в аренду ?;;;;;;;;;;;;;;;;;;;;;;;
жираф;Здравствуйте, есть шлифовочная машина?;;;;;;;;;;;;;;;;;;;;;;;
лампа Лосева;Здравствуйте, есть лампа Лосева?;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Здравствуйте, есть пылесос?;;;;;;;;;;;;;;;;;;;;;;;
фрезер;Здравствуйте, подскажите пожалуйста, какая модель мне лучше подойдет?  Задача - максимально быстро и как можно тише просверлить дерево не насквозь, а сделать просто углубление сверлом DeWalt Extreme Impact. Углубление диаметром 13мм и длиной 7см примерно  Тишина и скорость сверления находятся на одном уровне;;;;;;;;;;;;;;;;;;;;;;;
лампа Лосева;Добрый день! Лампа Лосева у Вас есть?;;;;;;;;;;;;;;;;;;;;;;;
нет такого инструмента;Добрый вечер? Есть ли у вас в аренду КСГ - 705 Пистолет для цементного раствора;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Добрый вечер  Сколько будет стоить аренда перфоратора ?;;;;;;;;;;;;;;;;;;;;;;;
вопрос по режиму работы;Добрый вечер, пара вопросов: время аренды оплачивается сразу при получении, или  после возврата по фактическому времени в пользовании. И смогу ли я арендовать инструмент будучи несовершеннолетним (17 лет)?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор аккумуляторный;Добрый,мне нужен перфоратор аккумуляторный;;;;;;;;;;;;;;;;;;;;;;;
нет такого инструмента;Здравствуйте, у вас есть в наличии дрель crown, хотел бы завтра подъехать, забрать;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;Торцовочная пила с протяжкой есть в наличии? Нужна будет в пятницу, где-то до понедельника;;;;;;;;;;;;;;;;;;;;;;;
нет такого инструмента;Добрый вечер. Интересует аренда ленточный пилы. Прошу указать марку и модель и стоимость.;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;Добрый вечер. Интересует аренда торцовочной пилы. Прошу указать марку и модель и стоимость.;;;;;;;;;;;;;;;;;;;;;;;
лобзик;Здравствуйте, нужен лобзик , чтобы сделать вырез в столе .   На 1 сутки или даже если можно на пол суток )   Какая цена и условия . Стол тонкий , можно самый обычный лобзик;;;;;;;;;;;;;;;;;;;;;;;
нет такого инструмента;Добрый день. Подскажите, пожалуйста, есть ли в аренду электрический рубанок шириной 20 мм, глубиной от 4 мм?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Добрый вечер, есть возможность проката пылесоса строительного на завтра?;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Добрый вечер!  На завтра у Вас есть пылесос строительный для аренды?;;;;;;;;;;;;;;;;;;;;;;;
детектор проводки;Добрый вечер!  На завтра у Вас есть детектор проводки, если у вас он в аренду ?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте для аренда;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
лампа Лосева;Здравствуйте! Лампа Лосева есть в аренду? На месяц примерно;;;;;;;;;;;;;;;;;;;;;;;
паркетно-шлифовальная машина;Доброе утро. Аренда циклевочной машины по паркету сколько будет стоить?;;;;;;;;;;;;;;;;;;;;;;;
лобзик;Здравствуйте,у вас есть лобзик?;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Добрый вечер, сколько стоит аренда строительного пылесоса?;;;;;;;;;;;;;;;;;;;;;;;
пушка электрическая;Добрый вечер. Сколько у вас стоит аренда тепловой, электрической пушки для Помещения 5м2?;;;;;;;;;;;;;;;;;;;;;;;
лобзик;Добрый вечер  Сколько будет стоить аренда электролобзика на 2 суток? Что нужно для аренды?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Добрый вечер  Сколько будет стоить аренда перфоратора на 2 суток? Что нужно для аренды?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здравствуйте!  Есть перфоратор?  На 3 дня;;;;;;;;;;;;;;;;;;;;;;;
УШМ;Здравствуйте подскажите пожалуйста интересует большая болгарка с алмазным кругом по бетону;;;;;;;;;;;;;;;;;;;;;;;
бензорез;Здравствуйте подскажите у вас есть в аренду бетонорез?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;День добрый.  Виброплиту выкупите? После одного объекта Champion PC9045F;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здравствуйте! Сколько стоит аренда перфоратора?;;;;;;;;;;;;;;;;;;;;;;;
сварочный полуавтомат;Здравствуйте, а у вас есть сварочный аппарат полуавтомат ?;;;;;;;;;;;;;;;;;;;;;;;
паяльник для ПВХ труб;Добрый день. Паяльная машина для полпроптленовых труб завтра можно взять?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
реноватор;Здравствуйте, реноватор есть в наличии в аренду?;;;;;;;;;;;;;;;;;;;;;;;
лестница;Здравствуйте! Есть ли для аренды лестница- стремянка, буквой Л для работы под потолком в помещении высотой 4.35 метра? На одни сутки.;;;;;;;;;;;;;;;;;;;;;;;
плиткорез электрический;Здравствуйте . Аренда плиткореза для керамогранит а 120*60 есть у вас ? А так же для углов водный ? И есть в наличии ?;;;;;;;;;;;;;;;;;;;;;;;
лестница;Здравствуйте. Лестница метров 7-8 есть для аренды? Цена?;;;;;;;;;;;;;;;;;;;;;;;
гвоздезабивной пистолет по бетону;добрый день, есть аренда гвоздезабивной пистолет аккумуляторный по бетону?;;;;;;;;;;;;;;;;;;;;;;;
машина полировальная;какие у вас полировочные машинки;;;;;;;;;;;;;;;;;;;;;;;
машина полировальная;Здравствуйте, полировальная машинка сколько будет стоить на сутки?;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;Добрый день! Интересует аренда торцовочной пилы, рубанка. Какая стоимость?;;;;;;;;;;;;;;;;;;;;;;;
степлер;Здравствуйте! Можно ли у вас арендовать пневмостеплер?;;;;;;;;;;;;;;;;;;;;;;;
компрессор;Здравствуйте! Можно ли у вас арендовать электрический компрессор?;;;;;;;;;;;;;;;;;;;;;;;
дрель-шуруповерт;Добрый вечер! Работаете? Срочно нужна дрель, в которую зайдет сверло по металу на 12;;;;;;;;;;;;;;;;;;;;;;;
краскопульт;Здравствуйте  Интересует аренда краскопульта  Нужно покрасить потолок с вентиляцией 200кв  Какие варианты есть?   Владимир  89531790859;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здравствуйте есть перфоратор или ударная дрель ?;;;;;;;;;;;;;;;;;;;;;;;
дрель-шуруповерт;Здравствуйте, сколько стоит аренда дрели? На какой срок? Идут ли сверла в комплекте?;;;;;;;;;;;;;;;;;;;;;;;
реноватор;Добрый день! Подскажите, пожалуйста, у вас есть в наличии реноватор?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здравствуйте  Перфоратор есть возможность взять в аренду сегодня и завтра вернуть?;;;;;;;;;;;;;;;;;;;;;;;
нет такого инструмента;здравствуйте, сколько стоит арендовать электропилу на два дня?;;;;;;;;;;;;;;;;;;;;;;;
рейсмус;Добрый день. Интересует аренда рейсмуса. Какая рабочая ширина?;;;;;;;;;;;;;;;;;;;;;;;
пушка газовая;Здравствуйте. Газовую тепловую пушку завтра можно арендовать на пару суток?;;;;;;;;;;;;;;;;;;;;;;;
газовый баллон;Здравствуйте. Баллон газовый завтра можно арендовать на пару суток?;;;;;;;;;;;;;;;;;;;;;;;
тачка;Тачка нужна;;;;;;;;;;;;;;;;;;;;;;;
виброплита;нужна трамбовка;;;;;;;;;;;;;;;;;;;;;;;
пила цепная аккумуляторная;Здравствуйте, подскажите, есть ли в ассортименте вашего инструмента аккумуляторная цепная пила?;;;;;;;;;;;;;;;;;;;;;;;
нейлер пневматический;Здравствуйте! Сколько стоит аренда пневматического степлера?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Добрый  вечер;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте, тепловые пушки есть в наличии?;;;;;;;;;;;;;;;;;;;;;;;
лестница;Здравствуйте, нужна высокая стремянка , метров 5;;;;;;;;;;;;;;;;;;;;;;;
заклепочник;Здравствуйте, есть ли у вас заклепочник под каленые заклепки 8мм ?;;;;;;;;;;;;;;;;;;;;;;;
пила ленточная;Добрый день! У Вас есть ленточная пила в аренду?;;;;;;;;;;;;;;;;;;;;;;;
виброплита;Добрый день ,сколько будет стоит вибро плита на сутки с доставкой?;;;;;;;;;;;;;;;;;;;;;;;
лобзик;Здравствуйте  нужен электролобзик на сутки, сегодня можно взять в аренду,;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Добрый вечер;;;;;;;;;;;;;;;;;;;;;;;
сварочный аппарат;Нужен инвертор- сварочник.Чё-почём(?!) Привет.;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;Можно арендовать торцовочную пилу? Стоимость аренды?;;;;;;;;;;;;;;;;;;;;;;;
лестница;Здравствуйте! Какая у Вас самая высокая стремянка?;;;;;;;;;;;;;;;;;;;;;;;
сварочный полуавтомат;Здравствуйте, сварочный полуавтомат нужен , дня на 4 , что по цене ?;;;;;;;;;;;;;;;;;;;;;;;
пила погружная;Здравствуйте! Подскажите, циркулярная пила(распилить столешницу кухонную) есть в наличии? И какая стоимость?;;;;;;;;;;;;;;;;;;;;;;;
виброплита;Добрый ночи, интересует виброплита, трамбовать 20-30см песок щебень, какой виброплита нужен?  аренда с доставкой ул Сортировочная-Московская;;;;;;;;;;;;;;;;;;;;;;;
прогрев бетона;Добрый ночи, интересует  оборудование для прогрева бетона,  аренда с доставкой ул Сортировочная-Московская;;;;;;;;;;;;;;;;;;;;;;;
лазерный уровень;Добрый ночи, интересует лазерный невилер, аренда с доставкой ул Сортировочная-Московская;;;;;;;;;;;;;;;;;;;;;;;
культиватор;Здравствуйте. Культиватор есть у вас в аренду?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здравствуйте. Сегодня работаете? Перфоратор есть?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Добрый вечер;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здравствуйте! Подскажите пожалуйста, есть ли у вас перфоратор и сколько он стоит в сутки?;;;;;;;;;;;;;;;;;;;;;;;
вопрос по режиму работы;Вы сегодня работаете?;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;Добрый день! Подскажите пожалуйста есть ли у вас в аернду торцовочная пила ?;;;;;;;;;;;;;;;;;;;;;;;
дрель-шуруповерт;добрый вечер! сегодня возможно арендовать дрель?;;;;;;;;;;;;;;;;;;;;;;;
реноватор;Добрый день. Необходимо арендовать реноватор. Подскажите по наличию. Еще подскажите, идет ли в комплекте оснастка?;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Здравствуйте. Сколько стоит аренда строительного пылесоса?;;;;;;;;;;;;;;;;;;;;;;;
реноватор;Здравствуйте. У вас есть реноватор?;;;;;;;;;;;;;;;;;;;;;;;
лестница;Здравствуйте. Вы сегодня работаете? Если да, то у вас есть стремянка на 7 ступеней (1.48м площадка) в аренду? И сколько это по стоимости на сутки;;;;;;;;;;;;;;;;;;;;;;;
миксер;Здравствуйте! Можно на завтра забронировать строительный миксер ручной? Скорее всего на сутки, т.к. до 18-00 не успею вернуть.;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;Добрый день мне нужна торцовка для того чтобы отпилить плинтус из полистирола ( ударопрочный);;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
сварочный полуавтомат;Здравствуйте! Подскажите, у вас сварочный полуавтомат в аренду на сутки можно взять?;;;;;;;;;;;;;;;;;;;;;;;
нет такого инструмента;Добрый день, подскажите пожалуйста есть ли у вас ударный ключ на 30мм;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Здравствуйте!  Нужен в аренду строительный пылесос. Сколько за сутки? И сколько будет стоить взять на месяц?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
лобзик;Здравствуйте, нужен электрический лобзик на сегодня, сколько будет стоить на 1 сутки?;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Здравствуйте, нужен мощный строительный пылесос. У нас есть обычные строительный пылесос с 1 турбиной, но он не справляется. Задача такая: по площади всей квартиры убрали плитку и остался мусор, мы сколько смогли прошли щетками, и нужно привести пол в порядок.;;;;;;;;;;;;;;;;;;;;;;;
шуруповерт;Здравствуйте, сколько стоит аренда шуруповерта самого простого на сегодня;;;;;;;;;;;;;;;;;;;;;;;
пила дисковая;Дд Подскажите пожалуйста стоимость аренды циркулярной ручной пилы И второе: торцовочной;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;нужна торцовочная пила с протяжкой, с глубиной пропила не менее 90 см. Есть такое? стоимость аренды?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здравствуйте. Сколько стоит аренда перфоратора. Нужно сделать 8 отверстий в бетоне. Аренда на день;;;;;;;;;;;;;;;;;;;;;;;
реноватор;Здравствуйте. Ренноватор сдаете в аренду? Стоимость? Где можно забрать?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Добрый вечер!;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Добрый день! С прайсом можно ознакомиться?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здравствуйте! Подскажите, пожалуйста, у вас есть ударная дрель с функцией перфоратора? И можно, пожалуйста, узнать условия аренды?;;;;;;;;;;;;;;;;;;;;;;;
гвоздезабивной пистолет по бетону;здравствуйте. сколько будет стоить аренда гвоздезабивной пистолет аккумуляторный;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Добрый день.;;;;;;;;;;;;;;;;;;;;;;;
паркетно-шлифовальная машина;Здравствуйте. А циклевщик для Пола есть?;;;;;;;;;;;;;;;;;;;;;;;
бензопила;Добрый вечер  Интересует бензопила , 462 или выше Аренда на 4 дня , возможно больше;;;;;;;;;;;;;;;;;;;;;;;
пила дисковая;Здравствуйте, меня интересует, 1)пила паркетница, если да, то сколько будет стоить аренда на 2 суток;;;;;;;;;;;;;;;;;;;;;;;
лазерный уровень;Здравствуйте, меня интересует, 2)лазерный уровень, если да, то сколько будет стоить аренда на 2 суток;;;;;;;;;;;;;;;;;;;;;;;
степлер;Здравствуйте, меня интересует, 3)степлер электрический, если да, то сколько будет стоить аренда на 2 суток;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Добрый вечер;;;;;;;;;;;;;;;;;;;;;;;
шлифовальная машина;Здравствуйте,сориентируйте по наличию шлифмашинки по дереву ,ее стоимости и возможности аренды на воскресенье;;;;;;;;;;;;;;;;;;;;;;;
дрель для алмазного бурения;Здравствуйте, имеется дрель с коронкой для подрозетника (68мм)?;;;;;;;;;;;;;;;;;;;;;;;
УШМ;Здравствуйте, подскажите, есть ли в наличии в аренду болгарка?;;;;;;;;;;;;;;;;;;;;;;;
паркетно-шлифовальная машина;Здравствуйте! Скажите пожалуйста, имеется в прокате Паркетошлифовальные машины? Если да, в какую стоимость прокат?;;;;;;;;;;;;;;;;;;;;;;;
паркетно-шлифовальная машина;Здравствуйте, у вас есть циклевочная машина? Сколько стоит аренда?;;;;;;;;;;;;;;;;;;;;;;;
сварочный полуавтомат;Здравствуйте, а сколько сварчный полуавтомат ампер минимум и цена;;;;;;;;;;;;;;;;;;;;;;;
лобзик;Добрый день! У вас в аренду аккумуляторный электро лобзик или аккумуляторная сабельная пила?;;;;;;;;;;;;;;;;;;;;;;;
гвоздезабивной пистолет по бетону;Здравствуйте. Гвоздезабивной пистолет можно взять в аренду? Какая цена и условия ?;;;;;;;;;;;;;;;;;;;;;;;
краскопульт;Здравствуйте, есть электрический пуливилизатор;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;здравствуйте, могу ли я придти к вам с инструментом маленьким, чтобы вы обрезали, я просто не умею инструментом пользоваться;;;;;;;;;;;;;;;;;;;;;;;
паяльник для ПВХ труб;Здравствуйте. Подскажите у вас есть инструмент для резки металлопластиковых труб?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Сообщение удалено;;;;;;;;;;;;;;;;;;;;;;;
триммер;Здравствуйте. Сколько будет стоить бензопила и триммер с ножом и леской? На день;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здравствуйте, нужен мощный перфоратор, есть возможность взять у вас в аренду?;;;;;;;;;;;;;;;;;;;;;;;
степлер;Здравствуйте, сколько стоит аренда степлера;;;;;;;;;;;;;;;;;;;;;;;
шлифовальная машина;Здравствуйте, шлифовальная машина для дерева на акомулятлое есть?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здравствуйте! Хотела бы узнать возможно ли взять перфоратор (который подойдёт для кирпичной стены) на воскресенье и сколько это будет стоить?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здравствуйте. Нужен перфоратор или дрель с ударным механизмом. Повесить зеркало;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Добрый день;;;;;;;;;;;;;;;;;;;;;;;
плиткорез ручной;Здравствуйте. Подскажите, интересует плиткорез. Что у вас есть из наличия и какая будет стоимость аренды ?;;;;;;;;;;;;;;;;;;;;;;;
заклепочник;Добрый день! подскажите есть ли в аренду резьбовой заклепочник?;;;;;;;;;;;;;;;;;;;;;;;
УШМ;Здравствуйте! Нужен болгарка на день, сколько выйдет?;;;;;;;;;;;;;;;;;;;;;;;
сварочный аппарат;Здравствуйте! Нужен сварочник на день, сколько выйдет?;;;;;;;;;;;;;;;;;;;;;;;
нет такого инструмента;Электропилу в аренду сколько будет;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте!;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Добрый день ! Сколько стоит аренда строительного пылесоса ?;;;;;;;;;;;;;;;;;;;;;;;
бензобур;Здравствуйте. Требуется бур шнек 300 с доставкой. Оплата по р/с  с НДС;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здравствуйте. Можно ли будет у вас завтра взять перфоратор в аренду? И сколько стоит на сутки;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Здравствуйте, хотел бы завтра взять пылесос на день. Пропылесосить стяжку перед заливкой ровнителя. Не нашел объявления, сколько будет стоить ?;;;;;;;;;;;;;;;;;;;;;;;
газонокосилка;Здравствуйте. Подскажите , у вас можно арендовать газонокосилку и какая цена за сутки ?;;;;;;;;;;;;;;;;;;;;;;;
генератор;Здравствуйте, есть генератор от 5 кВт ? Завтра на день;;;;;;;;;;;;;;;;;;;;;;;
лестница;Добрый день) нам нужна стремянка в среду к 10.00, на 1 день Подскажите , есть ли у Вас доставка и какой высоты есть?  Потолки в помещении 3.5м, необходим доступ до потолка;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здраствуйте,перфоратор в аренду у вас есть?цена аренды?;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Здравствуйте, у вас есть пылесос для болгарки ?;;;;;;;;;;;;;;;;;;;;;;;
лестница;Добрый день. Подскажите, у вас будет стремянка высокая для работы с потолком 4м-4.3м?;;;;;;;;;;;;;;;;;;;;;;;
паркетно-шлифовальная машина;Добрый день, в какую стоимость будет аренда циклевочной машины по паркету ?;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;Здравствуйте  Нужна торцовка на 2-3 дня Какая стоимость?;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;Добрый день! Ищем для работ небольшую торцовочную пилу. Подскажите, пожалуйста у Вас найдется такой инвентарь?;;;;;;;;;;;;;;;;;;;;;;;
лестница;Добрый день! Ищем для работ стремянку до 100 сантиметров (можно +-20 сантиметров -- не критично). Подскажите, пожалуйста у Вас найдется такой инвентарь?;;;;;;;;;;;;;;;;;;;;;;;
лобзик;Добрый день, хочу взять в аренду аккумуляторный электролобзик в воскресенье с утра;;;;;;;;;;;;;;;;;;;;;;;
лестница;Добрый день! Просьба уточнить возможно и стоимость. Нужны две лестницы-стремянки. Трансформер и трехсекционная. На 3-5 дней, с сегодняшнего дня или завтра. С возможностью доставки: проспект Энгельса, дом 27. Оплата: желательно безнал, возможно?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
дрель-шуруповерт;Здравствуйте,в какую цену будет прокат дрели на сутки? Я могу сейчас без проблем подъехать;;;;;;;;;;;;;;;;;;;;;;;
бензобур;Добрый вечер! Подскажите, пожалуйста, есть ли у вас бензобур?;;;;;;;;;;;;;;;;;;;;;;;
триммер;Добрый вечер! Подскажите, пожалуйста, есть ли у вас триммер бензиновый (мотокоса)?;;;;;;;;;;;;;;;;;;;;;;;
сварочный полуавтомат;Сколько стоит аренда сварочного полуавтомата ?;;;;;;;;;;;;;;;;;;;;;;;
вопрос по режиму работы;Подскажи вы с 09:00 или с 10:00 в выходные ? На авито написано с 09:00 на картах с 10:00;;;;;;;;;;;;;;;;;;;;;;;
паркетно-шлифовальная машина;Доброй ночи, в какую стоимость аренда циклевальной машины для паркета дубового ?;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Здравствуйте, подскажите пожалуйста, есть ли пылесос который подойдет для уборки полов после ремонта (надо избавиться от белой пыли);;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
нет такого инструмента;Здравствуйте, электробур по чем можно арендовать?;;;;;;;;;;;;;;;;;;;;;;;
сварочный полуавтомат;Здравствуйте! Интересует сварочный полуавтомат в аренду, на 2дня;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
фен;Здравствуйте!  Нужно снять старую краску с деревянных дверей.   Я так понимаю, нужна аренда строительного фена? Если неправильно понимаю, подскажите, пожалуйста.  И сразу с ценами с доставкой от/до Загородного проспекта, 24, Спб  Спасибо!;;;;;;;;;;;;;;;;;;;;;;;
УШМ;Здравствуйте!  Нужно снять старую краску с деревянных дверей.   Я так понимаю, нужна аренда болгарки? Если неправильно понимаю, подскажите, пожалуйста.  И сразу с ценами с доставкой от/до Загородного проспекта, 24, Спб  Спасибо!;;;;;;;;;;;;;;;;;;;;;;;
краскопульт;Здравствуйте! Краскопульт на завтра есть? Какой и стоимость аренды?;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;Здравствуйте, какова стоимость аренды торцовочной пилы ?;;;;;;;;;;;;;;;;;;;;;;;
лестница;здравствуйте, есть ли у вас лестница трансформер в аренду, что бы в разложенном виде не меньше 3 метров в длинну была? и сколько будет стоить на 3 часа?;;;;;;;;;;;;;;;;;;;;;;;
лобзик;Здравствуйте  Нужен лобзик для выреза столешницы в аренду на 1 день;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;Здравствуйте. У вас есть торцовочная пила?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здравствуйте, а перфоратор сколько будет стоить?;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Здравствуйте,можно ли заехать через минут 20 взять в аренду строительный пылесос?;;;;;;;;;;;;;;;;;;;;;;;
шуруповерт;Добрый день, подскажите, пожалуйста, стоимость аренды шуруповерта?;;;;;;;;;;;;;;;;;;;;;;;
штроборез;Добрый день! Штроборезы есть?;;;;;;;;;;;;;;;;;;;;;;;
лестница;Добрый день !   Интересует аренда лестницы на сутки высотой 9-11 метров  И по какому графику работаете ?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Добрый вечер;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здравствуйте, у вас есть перфоратор в аренду? Сколько стоит?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте!;;;;;;;;;;;;;;;;;;;;;;;
рейсмус;Здравствуйте я по поводу рейсмус а утром могу получить;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;Здравствуйте.У вас есть в аренду торцовка по металлу?;;;;;;;;;;;;;;;;;;;;;;;
нет такого инструмента;Здравствуйте есть набор гаечных ключей в аренду?;;;;;;;;;;;;;;;;;;;;;;;
дрель-шуруповерт;Здравствуйте! Скажите пожалуйста сколько стои аренда дрели?;;;;;;;;;;;;;;;;;;;;;;;
штроборез;Доброго дня! Интересует аренда штробореза;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Доброго дня! Интересует аренда строительного пылесоса;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Добрый день;;;;;;;;;;;;;;;;;;;;;;;
гвоздезабивной пистолет по бетону;Добрый день есть аренда монтажного пистолета?;;;;;;;;;;;;;;;;;;;;;;;
лобзик;Добрый день! Подскажите стоимость аренды лобзика электрического?;;;;;;;;;;;;;;;;;;;;;;;
реноватор;Здравствуйте  Можно сегодня взять в аренду реноватор?;;;;;;;;;;;;;;;;;;;;;;;
лазерный уровень;Здравствуйте, есть ли в вас в аренду лазерный уровень?;;;;;;;;;;;;;;;;;;;;;;;
